"PSH_CODE","PSH_NAME"
2388,"CLARKESDALE"
2389,"CLONBINANE"
2390,"CLONLEIGH"
2391,"CLUNES"
2392,"COBAW"
2393,"COBBANNAH"
2394,"COBBOBOONEE"
2395,"COBON"
2396,"COBRA KILLUC"
2397,"COBRAM"
2398,"COBUNGRA"
2399,"COCAMBA"
2400,"COCOMAH"
2401,"COCOROC"
2402,"CODRINGTON"
2403,"COHUNA"
2404,"COIMADAI"
2405,"COLAC"
2406,"COLAC COLAC"
2407,"COLBINABBIN"
2408,"COLERAINE"
2409,"COLIBAN"
2410,"COLIGNAN"
2411,"COLONGULAC"
2412,"COLQUHOUN"
2413,"COLQUHOUN EAST"
2414,"COLQUHOUN NORTH"
2415,"COLVINSBY"
2416,"COMBIENBAR"
2417,"COMMERALGHIP"
2418,"CONCONGELLA"
2419,"CONCONGELLA SOUTH"
2420,"CONDAH"
2421,"CONEWARRE"
2422,"CONGA WONGA"
2423,"CONGUPNA"
2424,"CONNANGORACH"
2425,"CONNEWARREN"
2426,"CONNEWIRRECOO"
2427,"COOACK"
2428,"COOAGGALAH"
2429,"COOLEBARGHURK"
2430,"COOLUMBOOKA"
2431,"COOLUNGOOLUN"
2432,"COOLUNGUBRA"
2433,"COOMA"
2434,"COOMBOONA"
2435,"COONGULLA"
2436,"COONGULMERANG"
2437,"COONIMUR"
2438,"COONOOER EAST"
2439,"COONOOER WEST"
2440,"COOPRACAMBRA"
2441,"COORAMOOK"
2442,"COORIEJONG"
2443,"COORNBURT"
2444,"COORNMILL"
2445,"COOROOPAJERRUP"
2446,"COPI PLAINS"
2447,"CORACK"
2448,"CORACK EAST"
2449,"CORADJIL"
2450,"CORANGAMITE"
2451,"COREA"
2452,"CORINDHAP"
2453,"CORINELLA"
2454,"CORIO"
2455,"CORNELLA"
2456,"COROP"
2457,"CORRYONG"
2458,"COSTERFIELD"
2459,"COWA"
2460,"COYNALLAN"
2461,"CRAIGIE"
2462,"CRANBOURNE"
2463,"CRESSY"
2464,"CRESWICK"
2465,"CRONOMBY"
2466,"CROOKAYAN"
2467,"CROSBIE"
2468,"CROWLANDS"
2469,"CROXTON EAST"
2470,"CROXTON WEST"
2471,"CUDGEWA"
2472,"CUNDARE"
2473,"CURLIP"
2474,"CURRACURT"
2475,"CURRAWA"
2476,"CURTAYNE"
2477,"CURYO"
2478,"CUT-PAW-PAW"
2479,"DAAHL"
2480,"DAALKO"
2481,"DAHWEDARRE"
2482,"DALYENONG"
2483,"DANDENONG"
2484,"DANDONGADALE"
2485,"DANYO"
2486,"DARBALANG"
2487,"DARGALONG"
2488,"DARGILE"
2489,"DARGO"
2490,"DARKBONEE"
2491,"DARLINGFORD"
2492,"DARLINGTON"
2493,"DARLINGTON WEST"
2494,"DARNUM"
2495,"DARRAGAN"
2496,"DARRAWEIT GUIM"
2497,"DARRIMAN"
2498,"DARRIWIL"
2499,"DARTAGOOK"
2500,"DARTELLA"
2501,"DARTMOOR"
2502,"DATTUCK"
2503,"DEAN"
2504,"DEDDICK"
2505,"DEDERANG"
