NINE_FIG,MARK_ID
100910002,241141
100999008,209447
100999009,209448
102900002,284326
102900003,284327
102900004,284328
102900005,284329
102900006,284330
102900007,284331
102900008,284332
102900009,284333
102900010,284334
102900012,284335
102900013,284336
102900014,284337
102900015,284338
102900016,284339
102900017,284340
102900018,284341
102900026,284342
102900027,284343
102900028,284344
102900029,284345
102900030,284346
102900031,284347
102900032,284348
102900033,284349
102900034,284350
102900038,284351
102900049,284352
102900058,284353
102900099,284354
106590026,219093
106950000,159645
106950001,159646
106950002,159647
106950003,160387
106950004,160388
106950005,160389
106950006,159394
106950007,159395
106950008,159396
106950009,159397
106950015,187870
106950016,187869
106950017,190625
106950018,190626
106950021,200758
106950033,242673
106950049,188311
106950050,188312
106950051,188314
106950052,188313
106950053,162234
106950054,162235
106950055,162236
106950056,218453
106950057,218454
106950063,188111
106950064,188112
106950065,162912
106950070,191429
106950071,187866
106950072,187858
106950073,187865
106950074,186060
106950075,186061
106950076,192819
106950077,192820
106950078,188143
106950079,188142
106950080,188144
106950081,188145
106950082,188146
106950083,196968
106950085,253973
106950086,196981
106950087,196998
106950088,189300
106950089,189301
106950090,189303
106950092,193144
106950093,193145
106950094,193146
106950095,192674
106950096,192675
106950097,192676
106950098,192677
106950099,191548
106950100,191543
106950101,191547
106950102,191534
106950104,193147
106950105,193148
106950106,193149
106950107,193150
106950108,192090
106950109,192100
106950110,192091
106950111,192094
106950112,200452
106950113,200453
106950114,193694
106950115,193695
106950116,193696
106950117,193697
106950118,193698
106950119,193699
106950120,191156
106950121,191157
106950122,257703
106950124,193844
106950125,193845
106950126,193846
106950127,193847
106950128,207661
106950129,207662
106950130,207663
106950131,207664
106950134,198300
106950135,198301
106950136,198302
106950137,200759
106950138,200760
106950139,200761
106950140,200762
106950141,200763
106950142,200764
106950148,226487
106950161,249452
106950163,222360
106950164,222361
106950165,222362
106950174,199889
106950175,199890
106950177,202211
106950178,202212
106950179,202213
106950184,210520
106950185,210522
106950186,210524
106950187,210527
106950192,207648
106950196,207438
106950197,207437
106950309,233865
106950310,233866
106950311,233867
107650000,159544
107650001,159545
107650002,159546
107650003,159547
107650004,159548
108120009,188595
108120024,197203
108120026,187373
108120028,187372
108120029,187394
108120030,188596
108120031,188606
108120032,188603
108120041,197204
108120042,194281
108120043,194282
108120044,197205
108120045,197206
108210002,237400
108210004,237401
108210009,223528
108210013,253493
108210014,253494
108210015,253495
